,REGION,SUBREGION,COUNTRY,LAT,LON,MONTH,YEAR,BLEACHING_SEVERITY,SOURCE
1759,Americas,Northern Caribbean,Jamaica,18.2,-77.25,,1960s,1,ReefBase
1882,Americas,Southern Tropical America,Colombia,13.36,-81.4,,1960s,1,ReefBase
2276,Americas,U.S. Caribbean,Puerto Rico,17.86,-66.44,,1960s,1,ReefBase
2199,Americas,U.S. Caribbean,Florida (USA),24.48,-81.7,,1970s,3,ReefBase
1980,Americas,Southern Tropical America,Panama,8.0,-82.3,,1970s,1,ReefBase
1943,Americas,Southern Tropical America,Ecuador,-0.65,-90.4,3.0,1970s,1,ReefBase
290,Americas,Eastern Caribbean,Virgin Islands (British),18.73,-64.3,,1970s,2,ReefBase
244,Americas,Eastern Caribbean,Netherlands Antilles,12.18,-68.3,,1970s,3,ReefBase
291,Americas,Eastern Caribbean,Virgin Islands (British),18.5,-64.5,,1970s,1,ReefBase
2933,Asia,Southeast Asia,Thailand,8.0,98.3,,1970s,1,ReefBase
2277,Americas,U.S. Caribbean,Puerto Rico,17.86,-66.44,,1970s,1,ReefBase
2928,Asia,Southeast Asia,Thailand,8.1,98.3,,1970s,1,ReefBase
2366,Asia,North and East Asia,Japan,26.39,128.0,,1980s,1,ReefBase
4873,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,-22.36,149.8,,1980s,1,GBRMPA  Historical Bleaching Database
3338,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,-18.23,146.8,,1980s,1,GBRMPA  Historical Bleaching Database
4127,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,-16.58,146.0,,1980s,1,GBRMPA  Historical Bleaching Database
4094,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,-19.11,146.9,,1980s,1,GBRMPA  Historical Bleaching Database
1849,Americas,Southern Tropical America,Chile,-27.17,-109.3,6.0,1980s,4,ReefBase
1847,Americas,Southern Tropical America,Chile,-27.1,-109.3,6.0,1980s,3,other
3433,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,-19.17,146.9,,1980s,1,GBRMPA  Historical Bleaching Database
3503,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,-14.85,145.2,,1980s,1,GBRMPA  Historical Bleaching Database
3827,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,-16.52,146.0,,1980s,1,GBRMPA  Historical Bleaching Database
3778,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,-16.77,146.0,,1980s,1,GBRMPA  Historical Bleaching Database
2806,Asia,Southeast Asia,Philippines,9.664,123.56,,1980s,2,ReefBase
2278,Americas,U.S. Caribbean,Puerto Rico,17.86,-66.44,,1980s,2,ReefBase
3266,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,-18.88,147.8,,1980s,1,GBRMPA  Historical Bleaching Database
3570,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,-18.77,146.5,,1980s,1,GBRMPA  Historical Bleaching Database
3533,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,-18.4,147.5,,1980s,1,GBRMPA  Historical Bleaching Database
3265,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,-18.9,147.8,,1980s,1,GBRMPA  Historical Bleaching Database
4874,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,-22.36,149.8,,1980s,1,GBRMPA  Historical Bleaching Database
4473,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,-19.39,148.1,,1980s,1,GBRMPA  Historical Bleaching Database
4619,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,-18.48,146.9,,1980s,1,GBRMPA  Historical Bleaching Database
4096,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,-19.11,146.9,,1980s,1,GBRMPA  Historical Bleaching Database
1902,Americas,Southern Tropical America,Costa Rica,8.734,-83.9,,1980s,4,"Jimenez, C., Cortes, J., Leon, A. and Ruiz, E. 2001. Coral Bleaching  and Mortality associated with the 1997-1998 El Nino in an upwelling environemnt in the Eastern Pacific (Gulf of Papagayo, Costa Rica). Bulletin of Marine Science. 69(1):151-169"
1907,Americas,Southern Tropical America,Costa Rica,8.69,-87.0,,1980s,4,"Jimenez, C., Cortes, J., Leon, A. and Ruiz, E. 2001. Coral Bleaching  and Mortality associated with the 1997-1998 El Nino in an upwelling environemnt in the Eastern Pacific (Gulf of Papagayo, Costa Rica). Bulletin of Marine Science. 69(1):151-169"
1909,Americas,Southern Tropical America,Costa Rica,10.0,-82.5,,1980s,4,GCRMN 2000. Chapter 18
1911,Americas,Southern Tropical America,Costa Rica,9.0,-85.0,,1980s,4,GCRMN 2000. Chapter 18
4171,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,-18.27,147.4,,1980s,1,GBRMPA  Historical Bleaching Database
4523,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,-18.81,146.4,,1980s,1,GBRMPA  Historical Bleaching Database
1863,Americas,Southern Tropical America,Colombia,3.3,-78.0,,1980s,4,GCRMN 2000. Chapter 18
3434,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,-19.17,146.9,,1980s,1,GBRMPA  Historical Bleaching Database
4052,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,-14.65,145.5,,1980s,1,GBRMPA  Historical Bleaching Database
3504,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,-14.85,145.2,,1980s,1,GBRMPA  Historical Bleaching Database
3339,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,-18.23,146.8,,1980s,1,GBRMPA  Historical Bleaching Database
3491,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,-18.83,147.6,,1980s,1,GBRMPA  Historical Bleaching Database
2050,Americas,Southern Tropical America,Panama,7.95,-82.0,,1980s,4,ReefBase
1905,Americas,Southern Tropical America,Costa Rica,8.72,-83.9,6.0,1980s,1,ReefBase
1891,Americas,Southern Tropical America,Colombia,9.75,-75.8,,1980s,1,ReefBase
2161,Americas,U.S. Caribbean,Florida (USA),25.16,-80.3,,1980s,1,ReefBase
2042,Americas,Southern Tropical America,Panama,7.7,-82.06,,1980s,4,GCRMN 2000. Chapter 18
2046,Americas,Southern Tropical America,Panama,8.63,-79.06,,1980s,1,ReefBase
1892,Americas,Southern Tropical America,Colombia,9.75,-75.8,,1980s,1,ReefBase
1932,Americas,Southern Tropical America,Ecuador,-1.233,-90.4,5.0,1980s,3,ReefBase
1931,Americas,Southern Tropical America,Ecuador,-0.7417,-90.3,,1980s,4,ReefBase
2048,Americas,Southern Tropical America,Panama,9.55,-78.9,6.0,1980s,4,ReefBase
2049,Americas,Southern Tropical America,Panama,7.95,-82.0,,1980s,4,ReefBase
1858,Americas,Southern Tropical America,Colombia,10.1,-76.0,,1980s,4,"GCRMN 2000. Chapter 18, Table p340"
