,ID,REGION,SUBREGION,COUNTRY,LOCATION,LAT,LON,MONTH,YEAR,SEVERITY_CODE,BLEACHING_SEVERITY,SOURCE,COUNTRY_CODE
1759,2258,Americas,Northern Caribbean,Jamaica,Jamaica,18.2,-77.25,,1960s,-1,1,ReefBase,JAM
1882,2072,Americas,Southern Tropical America,Colombia,Providencia Island ( Isla de Providencia ),13.3583333333333,-81.3833333333333,,1960s,-1,1,ReefBase,COL
2276,2276,Americas,U.S. Caribbean,Puerto Rico,Puerto Rico,17.8666666666667,-66.4333333333333,,1960s,-1,1,ReefBase,PRI
2199,2361,Americas,U.S. Caribbean,Florida (USA),Middle Sambo Reef,24.49,-81.675,,1970s,2,1,ReefBase,USA_FLO
1980,1817,Americas,Southern Tropical America,Panama,Chiriqui Gulf ( Golfo de Chiriqui ),8.0,-82.3333333333333,,1970s,-1,1,ReefBase,PAN
1943,2037,Americas,Southern Tropical America,Ecuador,Galapagos Islands,-0.65,-90.3833333333333,3.0,1970s,-1,1,ReefBase,ECU
2928,2075,Asia,Southeast Asia,Thailand,Phuket Island,8.10416666666667,98.3028333333333,,1970s,-1,1,ReefBase,THA
2277,2277,Americas,U.S. Caribbean,Puerto Rico,Puerto Rico,17.8666666666667,-66.4333333333333,,1970s,-1,1,ReefBase,PRI
2933,2068,Asia,Southeast Asia,Thailand,Phuket Reefs,8.0,98.3333333333333,,1970s,-1,1,ReefBase,THA
291,2268,Americas,Eastern Caribbean,Virgin Islands (British),British Virgin Islands,18.5,-64.5,,1970s,-1,1,ReefBase,VBG
244,2124,Americas,Eastern Caribbean,Netherlands Antilles,Bonaire,12.1833333333333,-68.3,,1970s,2,1,ReefBase,ANT
290,2269,Americas,Eastern Caribbean,Virgin Islands (British),Anegada,18.7333333333333,-64.3166666666667,,1970s,1,1,ReefBase,VBG
3778,2383,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,Green Island Reef,-16.769,145.9912,,1980s,-1,1,GBRMPA  Historical Bleaching Database,AUS_GBR
3827,2388,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,Hastings Reef,-16.5212,146.0115,,1980s,-1,1,GBRMPA  Historical Bleaching Database,AUS_GBR
3503,2156,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,Decapolis Reef,-14.852,145.2718,,1980s,-1,1,GBRMPA  Historical Bleaching Database,AUS_GBR
3433,2442,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,Cockle Bay Reef,-19.1751,146.8138,,1980s,-1,1,GBRMPA  Historical Bleaching Database,AUS_GBR
1847,506,Americas,Southern Tropical America,Chile,Easter Island,-27.1,-109.3,6.0,1980s,2,1,"Wellington, G.M., Glynn, P.W., Strong, A.E., Navarrete, S.A., Wieters, E. and Hubbard, D. 2001. Crisis on Coral Reefs Linked to Climate Change. EOS. 82(1):1, 5",CHL
1849,2246,Americas,Southern Tropical America,Chile,Easter Island (Rapa-Nui),-27.1666666666667,-109.333333333333,6.0,1980s,3,1,ReefBase,CHL
4094,2441,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,Magnetic Island Reef F,-19.1118,146.861,,1980s,-1,1,GBRMPA  Historical Bleaching Database,AUS_GBR
4127,2392,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,Michaelmas Reef,-16.5841,146.0171,,1980s,-1,1,GBRMPA  Historical Bleaching Database,AUS_GBR
3338,2411,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,Britomart Reef,-18.23,146.7286,,1980s,-1,1,GBRMPA  Historical Bleaching Database,AUS_GBR
4873,2479,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,Turtle Island Reef,-22.3582,149.7747,,1980s,-1,1,GBRMPA  Historical Bleaching Database,AUS_GBR
2366,2241,Asia,North and East Asia,Japan,Okinawa Kaigan,26.3833333333333,128.0,,1980s,-1,1,ReefBase,JPN
2806,2024,Asia,Southeast Asia,Philippines,Alcoy,9.66666666666667,123.55,,1980s,1,1,ReefBase,PHL
2278,2278,Americas,U.S. Caribbean,Puerto Rico,Puerto Rico,17.8666666666667,-66.4333333333333,,1980s,1,1,ReefBase,PRI
4052,2153,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,Lizard Island NW Side Re,-14.6514,145.4485,,1980s,-1,1,GBRMPA  Historical Bleaching Database,AUS_GBR
4523,2427,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,Pandora Reef,-18.8138,146.4327,,1980s,-1,1,GBRMPA  Historical Bleaching Database,AUS_GBR
3491,2436,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,Davies Reef,-18.8239,147.6457,,1980s,-1,1,GBRMPA  Historical Bleaching Database,AUS_GBR
3434,2444,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,Cockle Bay Reef,-19.1751,146.8138,,1980s,-1,1,GBRMPA  Historical Bleaching Database,AUS_GBR
1909,791,Americas,Southern Tropical America,Costa Rica,Costa Rica - Caribbean,10.0,-82.5,,1980s,3,1,GCRMN 2000. Chapter 18,CRI
3504,2157,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,Decapolis Reef,-14.852,145.2718,,1980s,-1,1,GBRMPA  Historical Bleaching Database,AUS_GBR
1863,678,Americas,Southern Tropical America,Colombia,Colombia - Pacific,3.3,-78.0,,1980s,3,1,GCRMN 2000. Chapter 18,COL
3339,2412,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,Britomart Reef,-18.23,146.7286,,1980s,-1,1,GBRMPA  Historical Bleaching Database,AUS_GBR
1911,793,Americas,Southern Tropical America,Costa Rica,Costa Rica - Pacific,9.0,-85.0,,1980s,3,1,GCRMN 2000. Chapter 18,CRI
4171,2417,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,Myrmidon Reef,-18.2683,147.3862,,1980s,-1,1,GBRMPA  Historical Bleaching Database,AUS_GBR
4619,2415,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,Rib Reef,-18.4804,146.8729,,1980s,-1,1,GBRMPA  Historical Bleaching Database,AUS_GBR
4874,2480,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,Turtle Island Reef,-22.3582,149.7747,,1980s,-1,1,GBRMPA  Historical Bleaching Database,AUS_GBR
3533,2419,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,Dip Reef,-18.411,147.4531,,1980s,-1,1,GBRMPA  Historical Bleaching Database,AUS_GBR
4473,2450,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,Old Reef,-19.3854,148.0868,,1980s,-1,1,GBRMPA  Historical Bleaching Database,AUS_GBR
1907,687,Americas,Southern Tropical America,Costa Rica,Cocos Island,8.687,-87.0067,,1980s,3,1,"Jimenez, C., Cortes, J., Leon, A. and Ruiz, E. 2001. Coral Bleaching  and Mortality associated with the 1997-1998 El Nino in an upwelling environemnt in the Eastern Pacific (Gulf of Papagayo, Costa Rica). Bulletin of Marine Science. 69(1):151-169",CRI
3265,2439,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,Big Broadhurst Reef A,-18.9118,147.7439,,1980s,-1,1,GBRMPA  Historical Bleaching Database,AUS_GBR
4096,2443,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,Magnetic Island Reef F,-19.1118,146.861,,1980s,-1,1,GBRMPA  Historical Bleaching Database,AUS_GBR
3570,2431,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,Eclipse Island Reef,-18.7703,146.549,,1980s,-1,1,GBRMPA  Historical Bleaching Database,AUS_GBR
1902,686,Americas,Southern Tropical America,Costa Rica,Cano Island,8.7333,-83.8833,,1980s,3,1,"Jimenez, C., Cortes, J., Leon, A. and Ruiz, E. 2001. Coral Bleaching  and Mortality associated with the 1997-1998 El Nino in an upwelling environemnt in the Eastern Pacific (Gulf of Papagayo, Costa Rica). Bulletin of Marine Science. 69(1):151-169",CRI
3266,2440,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,Big Broadhurst Reef B,-18.8699,147.6952,,1980s,-1,1,GBRMPA  Historical Bleaching Database,AUS_GBR
1982,1823,Americas,Southern Tropical America,Panama,Chiriqui Gulf ( Golfo de Chiriqui ),8.0,-82.3333333333333,1.0,1980s,3,1,ReefBase,PAN
1870,2045,Americas,Southern Tropical America,Colombia,Gorgona Island ( Isla de Gorgona ),2.98333333333333,-78.2,,1980s,-1,1,ReefBase,COL
2091,701,Americas,U.S. Caribbean,Florida (USA),Big Pine Key,24.6922,-81.3728,,1980s,3,1,GCRMN 2000. Chapter 14,USA_FLO
1901,1834,Americas,Southern Tropical America,Costa Rica,Cahuita,9.75,-82.8,,1980s,-1,1,ReefBase,CRI
2592,2086,Asia,Southeast Asia,Indonesia,Pari Island ( Pulau Pari ),-5.86666666666667,106.616666666667,4.0,1980s,-1,1,ReefBase,IDN
1941,2035,Americas,Southern Tropical America,Ecuador,Galapagos Islands,-0.65,-90.3833333333333,,1980s,3,1,ReefBase,ECU
135,2129,Africa,Southwest Indian Ocean,Comoros,Mayotte Island,-12.8333333333333,45.2166666666667,5.0,1980s,3,1,ReefBase,COM
2593,2067,Asia,Southeast Asia,Indonesia,Pari Islands,-5.83333333333333,106.633333333333,,1980s,-1,1,ReefBase,IDN
2165,818,Americas,U.S. Caribbean,Florida (USA),Key West,24.5553,-81.7828,,1980s,3,1,GCRMN 2000. Chapter 14,USA_FLO
1333,2354,Americas,Northern Caribbean,Bahamas,Exuma Cays,24.5166666666667,-76.65,10.0,1980s,3,1,ReefBase,BHS
2360,2347,Asia,North and East Asia,Japan,Okinawa,26.5,128.0,6.0,1980s,-1,1,ReefBase,JPN
1942,2036,Americas,Southern Tropical America,Ecuador,Galapagos Islands,-0.65,-90.3833333333333,,1980s,3,1,ReefBase,ECU
2596,2065,Asia,Southeast Asia,Indonesia,Seribu Islands,-5.51666666666667,106.483333333333,3.0,1980s,3,1,ReefBase,IDN
1908,2020,Americas,Southern Tropical America,Costa Rica,Costa Rica,9.91666666666667,-84.1666666666667,6.0,1980s,-1,1,ReefBase,CRI
2603,2085,Asia,Southeast Asia,Indonesia,Tikus Island,-5.48333333333333,106.4,,1980s,-1,1,ReefBase,IDN
